time,sim2real,rid,cid,gid,mode,battery,critical
3.0,0.5,0,-1,-1,1,65.5,False
3.0,0.5,1,-1,-1,1,64.5,False
3.0,0.5,2,-1,-1,1,59.5,False
3.0,0.5,3,-1,-1,1,57.5,False
3.0,0.5,4,-1,-1,1,62.5,False
3.0,0.5,5,-1,-1,1,61.5,False
3.0,0.5,6,-1,-1,1,66.5,False
3.0,0.5,7,-1,-1,1,61.5,False
3.0,0.5,8,-1,-1,1,59.5,False
3.0,0.5,9,-1,-1,1,60.5,False
3.0,0.5,10,-1,-1,1,55.5,False
3.0,0.5,11,-1,-1,1,54.5,False
3.0,0.5,12,-1,-1,1,49.5,False
3.0,0.5,13,-1,-1,1,47.5,False
3.0,0.5,14,-1,-1,1,52.5,False
3.0,0.5,15,-1,-1,1,51.5,False
3.0,0.5,16,-1,-1,1,56.5,False
3.0,0.5,17,-1,-1,1,51.5,False
3.0,0.5,18,-1,-1,1,49.5,False
3.0,0.5,19,-1,-1,1,50.5,False
3.0,0.5,20,-1,-1,1,75.5,False
3.0,0.5,21,-1,-1,1,74.5,False
3.0,0.5,22,-1,-1,1,69.5,False
3.0,0.5,23,-1,-1,1,67.5,False
3.0,0.5,24,-1,-1,1,72.5,False
3.0,0.5,25,-1,-1,1,71.5,False
3.0,0.5,26,-1,-1,1,76.5,False
3.0,0.5,27,-1,-1,1,71.5,False
3.0,0.5,28,-1,-1,1,69.5,False
3.0,0.5,29,-1,-1,1,70.5,False
3.0,0.5,30,-1,-1,1,45.5,False
3.0,0.5,31,-1,-1,1,44.5,False
3.0,0.5,32,-1,-1,1,39.5,False
3.0,0.5,33,-1,-1,1,37.5,False
3.0,0.5,34,-1,-1,1,42.5,False
3.0,0.5,35,-1,-1,1,41.5,False
3.0,0.5,36,-1,-1,1,46.5,False
3.0,0.5,37,-1,-1,1,41.5,False
3.0,0.5,38,-1,-1,1,39.5,False
3.0,0.5,39,-1,-1,1,40.5,False
6.0,0.5,0,-1,-1,1,63.0,False
6.0,0.5,1,-1,-1,1,62.0,False
6.0,0.5,2,-1,-1,1,57.0,False
6.0,0.5,3,-1,-1,1,55.0,False
6.0,0.5,4,-1,-1,1,60.0,False
6.0,0.5,5,-1,-1,1,59.0,False
6.0,0.5,6,-1,-1,1,64.0,False
6.0,0.5,7,-1,-1,1,59.0,False
6.0,0.5,8,-1,-1,1,57.0,False
6.0,0.5,9,-1,-1,1,58.0,False
6.0,0.5,10,-1,-1,1,53.0,False
6.0,0.5,11,-1,-1,1,52.0,False
6.0,0.5,12,-1,-1,1,47.0,False
6.0,0.5,13,-1,-1,1,45.0,False
6.0,0.5,14,-1,-1,1,50.0,False
6.0,0.5,15,-1,-1,1,49.0,False
6.0,0.5,16,-1,-1,1,54.0,False
6.0,0.5,17,-1,-1,1,49.0,False
6.0,0.5,18,-1,-1,1,47.0,False
6.0,0.5,19,-1,-1,1,48.0,False
6.0,0.5,20,-1,-1,1,73.0,False
6.0,0.5,21,-1,-1,1,72.0,False
6.0,0.5,22,-1,-1,1,67.0,False
6.0,0.5,23,-1,-1,1,65.0,False
6.0,0.5,24,-1,-1,1,70.0,False
6.0,0.5,25,-1,-1,1,69.0,False
6.0,0.5,26,-1,-1,1,74.0,False
6.0,0.5,27,-1,-1,1,69.0,False
6.0,0.5,28,-1,-1,1,67.0,False
6.0,0.5,29,-1,-1,1,68.0,False
6.0,0.5,30,-1,-1,1,43.0,False
6.0,0.5,31,-1,-1,1,42.0,False
6.0,0.5,32,-1,-1,1,37.0,False
6.0,0.5,33,-1,-1,1,35.0,False
6.0,0.5,34,-1,-1,1,40.0,False
6.0,0.5,35,-1,-1,1,39.0,False
6.0,0.5,36,-1,-1,1,44.0,False
6.0,0.5,37,-1,-1,1,39.0,False
6.0,0.5,38,-1,-1,1,37.0,False
6.0,0.5,39,-1,-1,1,38.0,False
9.0,0.5,0,-1,-1,1,60.5,False
9.0,0.5,1,-1,-1,1,59.5,False
9.0,0.5,2,-1,-1,1,54.5,False
9.0,0.5,3,-1,-1,1,52.5,False
9.0,0.5,4,-1,-1,1,57.5,False
9.0,0.5,5,-1,-1,1,56.5,False
9.0,0.5,6,-1,-1,1,61.5,False
9.0,0.5,7,-1,-1,1,56.5,False
9.0,0.5,8,-1,-1,1,54.5,False
9.0,0.5,9,-1,-1,1,55.5,False
9.0,0.5,10,-1,-1,1,50.5,False
9.0,0.5,11,-1,-1,1,49.5,False
9.0,0.5,12,-1,-1,1,44.5,False
9.0,0.5,13,-1,-1,1,42.5,False
9.0,0.5,14,-1,-1,1,47.5,False
9.0,0.5,15,-1,-1,1,46.5,False
9.0,0.5,16,-1,-1,1,51.5,False
9.0,0.5,17,-1,-1,1,46.5,False
9.0,0.5,18,-1,-1,1,44.5,False
9.0,0.5,19,-1,-1,1,45.5,False
9.0,0.5,20,-1,-1,1,70.5,False
9.0,0.5,21,-1,-1,1,69.5,False
9.0,0.5,22,-1,-1,1,64.5,False
9.0,0.5,23,-1,-1,1,62.5,False
9.0,0.5,24,-1,-1,1,67.5,False
9.0,0.5,25,-1,-1,1,66.5,False
9.0,0.5,26,-1,-1,1,71.5,False
9.0,0.5,27,-1,-1,1,66.5,False
9.0,0.5,28,-1,-1,1,64.5,False
9.0,0.5,29,-1,-1,1,65.5,False
9.0,0.5,30,-1,-1,1,40.5,False
9.0,0.5,31,-1,-1,1,39.5,False
9.0,0.5,32,-1,-1,1,34.5,False
9.0,0.5,33,-1,-1,1,32.5,False
9.0,0.5,34,-1,-1,1,37.5,False
9.0,0.5,35,300,0,0,54.0,False
9.0,0.5,36,-1,-1,1,41.5,False
9.0,0.5,37,-1,-1,1,36.5,False
9.0,0.5,38,-1,-1,1,34.5,False
9.0,0.5,39,-1,-1,1,35.5,False
12.0,0.5,0,-1,-1,1,58.0,False
12.0,0.5,1,-1,-1,1,57.0,False
12.0,0.5,2,-1,-1,1,52.0,False
12.0,0.5,3,-1,-1,1,50.0,False
12.0,0.5,4,-1,-1,1,55.0,False
12.0,0.5,5,-1,-1,1,54.0,False
12.0,0.5,6,-1,-1,1,59.0,False
12.0,0.5,7,-1,-1,1,54.0,False
12.0,0.5,8,-1,-1,1,52.0,False
12.0,0.5,9,-1,-1,1,53.0,False
12.0,0.5,10,-1,-1,1,48.0,False
12.0,0.5,11,-1,-1,1,47.0,False
12.0,0.5,12,-1,-1,1,42.0,False
12.0,0.5,13,-1,-1,1,40.0,False
12.0,0.5,14,-1,-1,1,45.0,False
12.0,0.5,15,-1,-1,1,44.0,False
12.0,0.5,16,-1,-1,1,49.0,False
12.0,0.5,17,-1,-1,1,44.0,False
12.0,0.5,18,-1,-1,1,42.0,False
